Ontology ID	label	parent class	Definition distilled from the GCW synthesis work	Definition's database cross reference	comment	Comment's database cross reference	editors note	exact synonym	broad synonym	narrow synonym	related synonym	in subset	SWEET cross reference	general cross reference	subclass axiom	creation date	created by
ID	AL rdfs:label@en	SC %	AL IAO:0000115@en	>AI oboInOwl:hasDbXref SPLIT=|	AL rdfs:comment@en	>AI oboInOwl:hasDbXref SPLIT=|	AL IAO:0000116@en	AL oboInOwl:hasExactSynonym@en SPLIT=|	AL oboInOwl:hasBroadSynonym@en SPLIT=|	AL oboInOwl:hasNarrowSynonym@en SPLIT=|	AL oboInOwl:hasRelatedSynonym@en SPLIT=|	A oboInOwl:inSubset SPLIT=|	AI oboInOwl:hasDbXref	AI oboInOwl:hasDbXref SPLIT=|	SC % SPLIT=|	AT oboInOwl:creation_date^^xsd:dateTime	AI oboInOwl:created_by SPLIT=|
ENVO:01000818							obsolete this term. Replace by new term for planetary cryosphere.					envoPolar|envoCryo				2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:03000143	cryosphere	astronomical body part	An astronomical body part which is composed primarily of environmental materials in their frozen form.	https://orcid.org/0000-0003-4808-4736	The term refers collectively to the portions of the earth (i.e., a planet) where water is in solid form, including snow cover, floating ice, glaciers, ice caps, ice sheets, seasonally frozen ground and perennially frozen ground (permafrost). The Cryosphere may be divided into the cryoatmosphere, the cryohydrosphere (snow cover, glaciers, and river, lake and sea Ice) and the cryolithosphere (perennially and seasonally cryotic ground, rock glacier).   This is an Earth centric definition, other cryospheres will be considered later. Some definitions reffer to that which is sufficiently cold for pure water to freeze for at least a part of each year.  It should be noted that "Some authorities exclude the earth's atmosphere from the Earth's Cryosphere; others restrict the term Cryosphere to the regions of the earth's crust where Permafrost exists."  Definitions of Cryosphere come from several glossaries including: - PhysicalGeography.net http://physicalgeography.net/ -  van Everdingen, Robert, ed., 2005 (1998 revised May 2005). Multi-language glossary of permafrost and related ground-ice terms. Boulder, CO: National Snow and Ice Data Center/World Data Center for Glaciology. [https://globalcryospherewatch.org/reference/glossary_docs/Glossary_of_Permafrost_and_Ground-Ice_IPA_2005.pdf] - American Meteorological Society, 2015. Glossary of Meteorology [online], Available at: http://glossary.ametsoc.org/wiki/Main_Page. [Accessed 27/01/2017]. - EU Climate-ADAPT (The European Climate Adaptation Platform), no date, Glossary, Available from: http://climate-adapt.eea.europa.eu/glossary - IPCC, 2014: Annex II: Glossary [Agard, J., Schipper, E. L. F., (ed.)]. In: Climate Change 2014: Impacts, Adaptation, and Vulnerability. Contribution of Working Group II to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change [Birkmann, J., Campos, M., Dubeux, C., Nojiri, Y., Olsson, L., Osman-Elasha, B., Pelling, M., Prather, M. J., Rivera-Ferre M. G., Ruppel, O. C., Sallenger, A., Smith, K. R., St. Clair, A. L.,]. Cambridge University Press, Cambridge, United Kingdom and New York, NY, USA. [Link] - NSIDC, The National Snow and Ice Data Center glossary is available at https://nsidc.org/cryosphere/glossary, Last accessed [26/01/2016]. - Trombotto, D., P. Wainstein & L. Arenson, 2014, Guía Terminológica de la Geocriología Sudamericana” / “Terminological Guide of the South American Geocryology, 1a ed. 128 pp. [Link] - UNESCO-WMO, 2012, International Glossary of Hydrology, 3rd edition, WMO-No. 385. [Link]	https://orcid.org/0000-0003-4808-4736	For the moment the definition links to liquid water but in the future we might need to link to other materials for other planets, e.g., Mars. Need to make this planet agnostic. Might want to not have the definition link to years as some astronomical body parts might not be in systems with years.   Make an axiom with composed primairly of frozen environmental materials. 					envoPolar|envoCryo	http://sweetontology.net/realm/Cryosphere			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:03000144	planetary cryosphere	ENVO:03000143	A cryosphere which is part of a planet.				Replacement for ENVO:01000818					envoPolar|envoCryo				2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:00000484		 sea surface layer	A sea surface layer which is 1) not covered by ice and 2) completely surrounded by either pack ice or land and pack ice.	https://orcid.org/0000-0003-4808-4736	A polynya is a Russian term for any non-linear shaped area of open water within the ice pack. Polynyas may contain brash ice and/or be covered with new ice, nilas or young ice; submariners refer to these as skylights.   Sometimes the polynya is limited on one side by the coast and is called a shore polynya or by fast ice and is called a flaw polynya. If it recurs in the same position every year, e.g. off the mouths of big rivers, it is called a recurring polynya. A temporary small clearing in pack ice which consists of small floes and brash in continuous local movement is called an unstable polynya; an opening which is flanked by large floes and therefore appears to be relatively stable is called a stable polynya.   Polynyas range in size from relatively small to enormous. The largest polynya observed in the Antarctic was the Weddell Polynya of 1975-77, covering an area of 2x105km2.   The two main categories of polynya are sensible heat and latent heat, depending on the mechanism responsible for maintaining their presence. Latent heat polynyas are maintained by persistent katabatic winds that drain off the continent. Newly formed ice is advected away by the wind, leaving the surface ice-free and open to more ice formation. In this manner latent heat polynyas can be major sources of new ice production. Coastal polynyas are primarily of this type. Sensible heat polynyas are maintained by upwelling warm water that supplies a sufficiently large oceanic heat flux to the base of the ice to reduce its thickness, or melt it completely. These polynyas are not responsible for large quantities of new ice production. A polynya may also form by a combination of the sensible and latent heat processes.   From the remote sensing/sea ice standpoint a polynya is a hole in the ice that ordinarily wouldn't be there - except that either the wind is creating it by pushing the ice away or there is something under the ice that is warmer than its surroundings and melting the ice that would otherwise be there.	https://orcid.org/0000-0003-4808-4736	Remove old defintion: "Any enclosed water area in pack ice other than a lead ..."  Remove old superclass lentic water body 	Polyn'ya				envoCryo	http://sweetontology.net/realmOcean/Polynya			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:03000141	snow layer	cryospheric layer	A cryospheric layer which is primarily composed of snow.	https://orcid.org/0000-0003-4808-4736	Follows from the GCW's snow cover definition 2: In general, a layer of snow on the ground surface. Compare snowfield, snowpack.   Given the SWEET terms location in its heirarchy I think only the 3rd definition is meant.	https://orcid.org/0000-0003-4808-4736	1) Add an axioms about A cryospheric layer which is primairly composed of snow.  2) Make a thickness of snow class using the Entity attribute DOSDP. thickness and inhers in some cryospheric layer. That class refers to GCW snow cover definition 3: The depth of snow on the ground, usually expressed in inches or centimeters. Link depth of snow to http://sweetontology.net/propSpaceThickness/SnowCover  3) We might want to make 3 class for ice cover which replicate the patterns used here for the GCW snow cover. Classes such as 1) Area of ice cover 2) ice layer 3) Depth of ice.				snow cover	envoPolar|envoCryo	http://sweetontology.net/propSpaceThickness/SnowCover			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:03000145	area of snow cover	environmental zone	An environmental zone which is covered or partially covered by snow.	https://orcid.org/0000-0003-4808-4736	This is one of three classes representing the idea of snow cover in the GCW glossary in addition to depth of snow and snow cover. In the GCW this refers to 1. The areal extent of snow-covered ground, usually expressed as percent of total area in a given region.	https://orcid.org/0000-0003-4808-4736						envoPolar|envoCryo				2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:03000142	snow water equivalent	PATO:0001595	A depth which inheres in a layer of liquid water derived from the complete melting a mass of snow contained in an area.	https://orcid.org/0000-0003-4808-4736	The quantification of snow water equivalent can be done through direct melting of snow in a defined area, or through the derivation of such a value from the processing of remote sensing data of, e.g., snow density and coverage.		In an area of melted snow it's the thickness of acumulated water. This involves a processing step for measurement, may be more appropriate in OBI (if it extends beyond biomedicine). 					envoPolar|envoCryo	http://sweetontology.net/propSpaceThickness/SnowWaterEquivalent			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:03000116	snowpack	ENVO:03000111	A snow mass which is large enough, and persists long enough, to undergo compaction under its own weight, leading to layer-like structural differentiation.	https://en.wikipedia.org/wiki/Snowpack	The GCW analysis of multiple glossaries found eight definitions of snowpack, with many commonalities but also disagreements. Please see the corresponding report "WMO GCW Nomenclature Assessment" for more information.		Given that SWEET considers the term to be a thickness and ENVO currently considers it a mass of snow; I think we have a fundamental mismatch here. See https://github.com/ESIPFed/sweet/issues/236#issue-805822974.	snow pack				envoPolar|envoCryo	http://sweetontology.net/propSpaceThickness/Snowpack			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:3400003	snow cover	PATO:0001351	An area density which inheres in snow distributed over an area of a landmass or other substrate.		1. The areal extent of snow-covered ground, usually expressed as percent of total area in a given region. 2. In general, a layer of snow on the ground surface. Compare snowfield, snowpack. 3. The depth of snow on the ground, usually expressed in inches or centimeters.		The superclass "area density" is somewhat awkward and this positioning requires further discussion.					envoPolar|envoCryo	http://sweetontology.net/phenHydro/SnowCover			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
ENVO:09200020							Make sure to make the DOSDP target for this term:  https://github.com/EnvironmentOntology/envo/blob/master/src/envo/modules/entity_attribute.csv#L18				snow cover	envoPolar|envoCryo	http://sweetontology.net/phenHydro/SnowCover			2021-04-14T18:57:18.275Z	https://orcid.org/0000-0003-4808-4736|http://orcid.org/0000-0002-4366-3088|http://orcid.org/0000-0002-3410-4655|https://orcid.org/0000-0003-0632-7576|https://orcid.org/0000-0002-0337-8610|https://orcid.org/0000-0002-2282-7215|https://orcid.org/0000-0002-2908-3327
