Term label	SWEET Term IRI	SWEET Term Type	ENVO label	ENVO Term IRI	New term	Harmonized GCW Definition	ENVO definition	External definition and source	Tackled?	Notes																					
blizzard	http://sweetontology.net/phenAtmoPrecipitation/Blizzard								Yes																						
freezing rain	http://sweetontology.net/phenAtmoPrecipitation/FreezingRain																														
hail	http://sweetontology.net/phenAtmoPrecipitation/Hail																														
hail storm	http://sweetontology.net/phenAtmoPrecipitation/HailStorm																														
heavy snowfall	http://sweetontology.net/phenAtmoPrecipitation/HeavySnowfall																														
ice pellet	http://sweetontology.net/phenAtmoPrecipitation/IcePellet																														
ice storm	http://sweetontology.net/phenAtmoPrecipitation/IceStorm																														
lake effect snow	http://sweetontology.net/phenAtmoPrecipitation/LakeEffectSnow																														
lake effect snowstorm	http://sweetontology.net/phenAtmoPrecipitation/LakeEffectSnowstorm																														
lambing storm	http://sweetontology.net/phenAtmoPrecipitation/LambingStorm																														
sleet	http://sweetontology.net/phenAtmoPrecipitation/Sleet																														
snowfall	http://sweetontology.net/phenAtmoPrecipitation/Snowfall					NA																									
																															
drizzle	http://sweetontology.net/phenAtmoPrecipitation/Drizzle						none		No	added 11/9/2022																					
graupel	http://sweetontology.net/phenAtmoPrecipitation/Graupel						good		yes	added 11/9/2022																					
kaavie	http://sweetontology.net/phenAtmoPrecipitation/Kaavie					NA	none		NO	added 11/9/2022																					
