 Term label	SWEET Term IRI	SWEET Term Type	ENVO Term IRI	New term	Harmonized GCW Definition	ENVO definition	External definition and source	Tackled?	Notes																					
ice shelf	http://sweetontology.net/realmCryo/IceShelf	Class	http://purl.obolibrary.org/obo/ENVO_00000380		"A floating ice sheet of considerable thickness showing 6 to 165 ft (2-50 m) or more above sea level, attached to the coast. An ice shelf may grow hundreds of miles out to sea.  Usually of great horizontal extent and with a level or gently undulating surface. Nourished by annual snow accumulation and also by the seaward extension of land glaciers. Limited areas may be aground. Ice shelves are much thicker than sea ice often filling embayments in the coastline of an ice sheet. Currently, nearly all ice shelves are in Antarctica, where most of the ice discharged into the ocean flows via ice shelves. The mass balance of an ice shelf may have significant components of both gain and loss at the base. The seaward edge is termed an ice front.  The calving of an ice shelf forms tabular icebergs and ice islands."	An ice mass which 1) is attached to the coast 2) at least 2 meters in thickness 3) forms where a glacier or ice mass flows down to a coastline and onto the ocean surface and 4) grows by annual snow accumulation or by the seaward extension of land glaciers.		yes																						
			http://purl.obolibrary.org/obo/ENVO_01001534	tabular iceberg	"Sea ice terminology describing a flat-topped iceberg that has become detached from an iceshelf, ice tongue or floating tidewater glacier. Newly formed tabular icebergs have nearly vertical sides and flat tops. In the Antarctic, they may be tens of kilometers wide, up to 160 km (100 miles) long, and as much as 300 m (1000 ft) thick, with about 30 m (100 ft) exposed above the sea surface. In the Arctic, large icebergs of this type are called ice islands, but they are considerably smaller than the largest of the antarctic variety. Has synonyms tabular berg, table iceberg. Formerly called barrier iceberg."	"An ice berg which 1) has a flat upper surface, 2) is derived from an ice shelf, ice tongue, or floating tidewater glacier via detachment. "	"Synonym- ""Tabular berg"" A flat-topped iceberg that shows horizontal banding; typically form by breaking from an ice shelf."	Yes	subclass of iceberg in Envo; no term for tabular																					
				ice island	"1. In the Arctic the sea ice term ""ice island"" describes a large piece of floating ice protruding about 16 ft (5 m) above sea level, which has broken away from an Arctic ice shelf. Ice islands have a thickness of 30 - 50 meters (33 to 55 yards), and an area of a few thousand square metres up to 500 square kilometers (123,550 acres) or more. They are usually characterized by a regularly rolling surface giving a ribbed appearance from the air.

2. In the Antarctic, the sea ice term ""ice island"" refers to a grounded part of a floating ice sheet which rises significantly higher than its surroundings, eg Butler Island. There are also more substantial features, eg the Lyddan Ice Rise."				no term available; sublcass of floating ice in envo																					
				Ice island fragment	"Sea ice terminology, describing a piece of an ice island that has broken away from the main mass."																									
				Ice front	The vertical cliff forming the seaward face of an ice shelf or other floating glacier varying in height from 6 to 165 ft (2-50 m) or more above sea level.				"the vertical cliff forming the seaward face of an ice shelf or other floating glacier, varying in height from 2 to 50 meters (2.2 to 55 yards) above sea level 
 https://nsidc.org/cryosphere/glossary/term/ice-front"																					
			hail	calving	"All of these terms refer to roughly the same process, its source (calving glacier) or its results (calved ice); however, 
1. some definitions assume that calving can only happen into water while others allow calving on land 
2. some definitions allow calving to occur from any form of ice of land origin, while others restrict it to glaciers or some subset of all of the types of ice of land origin 

Whether several definitions are needed or whether the community will accept a general inclusive definition is the question. In any case, it should be recognized that calving is an ablative process that results in icebergs if calving into water. What ice calved onto land would be called is not obvious, especially since the only definition of calved ice excludes ice falling onto land. 

Whatever decisions are made need to be consistent across all related terms."	A process during which a part of an ice mass breaks away from the main mass.			http://purl.obolibrary.org/obo/ENVO_01000917																					
			http://purl.obolibrary.org/obo/ENVO_00000456	Tidewater glacier	"A glacier that terminates in a lake or the sea, with terminus either floating or grounded. The adjective indicates geographical setting, and not that tides play a role in the mass balance. Typically, tidewater glaciers calve ice to produce icebergs."			Yes	Whether or not a tidewater glacier has to have a grounded terminus and whether a terminus ending in a lake still counts as a tidewater glacier.																					
				tongue	"There are really two definitions here: 

One about the end of a glacier on land - this definition has nothing to do with winds or currents 

The second about a glacier or ice stream that ends in water (either sea water or a lake) where winds and currents elongate the end of the glacier. Suggest that the first definition actually could apply to all glaciers and the second adds water terminated glacier specifics."																									
	http://sweetontology.net/realmCryo/IceSnowInterface	Class			None																									
																														
	http://sweetontology.net/realmCryo/IceStream	Class			"1. A part of an ice sheet or ice cap with strongly enhanced flow which is not necessarily in the same direction as the flow in the surrounding ice, often separated from surrounding ice by strongly sheared, crevassed margins or margins that are sometimes clearly marked by a change in direction of the surface slope but which otherwise may be indistinct. 'Pure' ice streams are bounded by ice on either side and lack significant non-glacial topographic control, while 'topographic' ice streams are constrained by the topography. An ice stream of the latter type is similar to an outlet glacier, but outlet glaciers do not necessarily have strongly enhanced flow velocity.   Motion of an ice stream is dominated by basal sliding.

2. In glaciology, an ice stream may also refer to the confluent sections of a branched-valley glacier 

3. An obsolete synonym of valley glacier."																									
			ice cap	ice cap	"A dome-shaped mass of glacier ice that spreads out in all directions; an ice cap is usually larger than an icefield but less than 50,000 square-kilometers (12 million acres). It is generally considered improper to refer to the Greenland and Antarctic Ice Sheets as ice caps. 

The flow pattern is less influenced by the subsurface topography than is true of icefields and valley glaciers. The definition embraces small as well as large ice bodies. The usage '(polar) ice cap' for the sea ice cover of the Arctic Ocean or Southern Ocean is confusing and best avoided."	"A dome-shaped ice mass that covers less than 50,000 km2 of land area (usually covering a highland area)."			http://purl.obolibrary.org/obo/ENVO_00000145																					
				marginal cravasse	A crevasse near the side of a glacier formed as the glacier moves past stationary valley walls; usually oriented about 45 degrees up-glacier from the side wall.				nothing																					
			outlet glacier	outlet glacier	"An outlet glacier, usually of valley-glacier form, draining an ice sheet, icefield or ice cap. In the accumulation zone the glacier outline may not be well defined because of the subdued relief. They often flow through a gap in peripheral mountains."	A glacier fed by an ice sheet.			http://purl.obolibrary.org/obo/ENVO_00000459																					
				basal sliding	"The motion of the basal ice of a glacier relative to the material immediately beneath the glacier, caused by the gradient of the slope and the weight of the glacier's mass and usually facilitated by the lubricating effect of meltwater. "				maybe make a subclass of material transport process																					
			http://purl.obolibrary.org/obo/ENVO_01001539	branched-valley glacier	Glacier that has one or more tributary glaciers that flow into it; distinguished from a simple valley glacier that has only a single tributary glacier.	A glacier which flows into a larger glacier.		yes	nothing; subclass of glacier																					
			http://purl.obolibrary.org/obo/ENVO_01001540	simple valley glacier	"A glacier that flows for all or most of its length within the walls of a valley, in consequence having a distinct tongue and a well-defined outline, descending from high mountains, from an ice cap on a plateau, or from an ice sheet. These glaciers typically flow down preexisting valleys and have ice-free slopes overlooking the glacier surface."	"A glacier which 1) flows for all or most of its length within the walls of a valley, in consequence having a distinct tongue and a well-defined outline and 2) descends from either high mountains, from an ice cap on a plateau, or from an ice sheet."		yes	"Synonym is ""valley galcier""  ice stream is a synonym of valley glacier: no existing classes; subclass of glacier"																					
			http://purl.obolibrary.org/obo/ENVO_01001541	tributary glacier	A small glacier that flows into a larger glacier.																									
	http://sweetontology.net/realmCryo/IceSurface	Class	http://purl.obolibrary.org/obo/ENVO_01001545		None	A two-dimensional fiat ice surface which is composed primarily of water ice.		yes	Bridges ENVO's materially-based layer classes to BFO fiat boundaries																					
																														
